Cusip,date,ESGScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore
00130H10,2014-12-31,0.5385435225,0.3753008927,0.952879108,0.4332949727
00130H10,2015-12-31,0.5921660901,0.4418651825,0.9845454509,0.4868831533
00130H10,2016-12-31,0.6465284848,0.4452773477,0.9590300618,0.6693172203
00130H10,2017-12-31,0.606225791,0.3409937591,0.9779026373,0.6671624124
00130H10,2018-12-31,0.6530835656,0.4311897586,0.9718199255,0.6980705748
00130H10,2019-12-31,0.6918873491,0.536327036,0.9665424331,0.6840392323
00130H10,2020-12-31,0.7218517488,0.5433546781,0.9757728954,0.7599470362
00130H10,2021-12-31,0.7385935114,0.5646490193,0.97185686,0.7866260405
00130H10,2022-12-31,0.7471083254,0.6020826488,0.9751272079,0.7613581467
00130H10,2023-12-31,0.7376400785,0.5828460321,0.9896692508,0.7461944682
00154710,2008-12-31,0.213921467,0.0859173127,0.3983464705,0.2133403524
00154710,2009-12-31,0.1903959412,0.0892499615,0.3260880172,0.19606065
00154710,2010-12-31,0.3734058989,0.1797204482,0.8223470563,0.2688684003
00154710,2011-12-31,0.3637071485,0.2104596054,0.787952708,0.238872116
00154710,2012-12-31,0.5225647466,0.4388392873,0.7993566992,0.4268990416
00154710,2013-12-31,0.5311666723,0.4423482441,0.8404079632,0.4201555608
00154710,2014-12-31,0.5549080341,0.4544704171,0.8523158171,0.461279235
00154710,2015-12-31,0.5179851707,0.4171977536,0.9313118068,0.3539321507
00154710,2016-12-31,0.5097066848,0.4219254119,0.9084074488,0.3432030607
00154710,2017-12-31,0.7544006701,0.7158125486,0.8542614717,0.727216911
00154710,2018-12-31,0.678699073,0.7554241929,0.5754060729,0.674623341
00154710,2019-12-31,0.6779129931,0.7497579148,0.6147113661,0.6536428339
00163T10,2004-12-31,0.2260325194,0,0.3659395973,0.3578878748
00163T10,2005-12-31,0.281821375,0,0.5741405082,0.3206677937
00163T10,2006-12-31,0.3119096874,0,0.7023383085,0.2836486374
00163T10,2007-12-31,0.3536508929,0.168707483,0.3420949584,0.5957703265
00163T10,2008-12-31,0.3467156437,0.1822727273,0.3036223507,0.5969511775
00163T10,2009-12-31,0.7588410329,0.7923931252,0.6930108314,0.7872640914
00163T10,2010-12-31,0.7409048306,0.787163445,0.6219276295,0.8101449914
00163U10,2016-12-31,0.2761098018,0,0.5479948805,0.2296680904
00163U10,2017-12-31,0.2817830226,0,0.4625787244,0.299077196
00163U10,2018-12-31,0.2476491741,0,0.4147938202,0.2573281877
00163U10,2019-12-31,0.1986938576,0,0.2710537497,0.2477749305
00164V10,2011-12-31,0.0800466109,0,0.0557459677,0.1187677603
00164V10,2012-12-31,0.1128674111,0,0.0966326531,0.1537716352
00164V10,2013-12-31,0.1334122255,0,0.1358239509,0.1653557822
00164V10,2014-12-31,0.0859770873,0,0.0709996588,0.1191187007
00164V10,2015-12-31,0.0902182081,0,0.0703635621,0.1281377387
00164V10,2016-12-31,0.1053332241,0,0.031129124,0.1883574076
00164V10,2017-12-31,0.1263886496,0,0.067090347,0.2034224616
00164V10,2018-12-31,0.1455502621,0,0.055407358,0.2508613948
00164V10,2019-12-31,0.1171906515,0,0.0284788613,0.214235214
00164V10,2020-12-31,0.2228204631,0,0.1089910291,0.3656834415
00164V10,2021-12-31,0.1916007881,0,0.0738246628,0.3295575386
00164V10,2022-12-31,0.1683625345,0,0.0332866218,0.3135752617
00164V10,2023-12-31,0.1658427483,0,0.052743106,0.2937267167
00165C10,2015-12-31,0.1205985679,0,0.1597017974,0.1668888889
00165C10,2016-12-31,0.127250997,0,0.0891496018,0.2290025253
00165C10,2017-12-31,0.1460170552,0,0.1374670789,0.2393272725
00165C10,2018-12-31,0.1517738468,0,0.1746693342,0.2275744966
